title_original,year,publication_type,doi,language,periodical_magazine_name,qualis,issn,isbn,book_title,start_page,end_page,publishing_company,publishing_company_city,authors_list,title_processed
Brain Asymmetry In Pain Affective Modulation,2021,ARTICLE,10.1093/pm/pnab232,en,Pain Medicine,A2,15262375.0,,,,,,,['José Garcia Vivas Miranda'],brain asymmetry pain affective modulation
Viewing Pain And Happy Faces Elicited Similar Changes In Postural Body Sway,2014,ARTICLE,10.1371/journal.pone.0104381,en,Plos One,A1,19326203.0,,,,,,,['José Garcia Vivas Miranda'],view pain happy face elicit similar change postural body sway
Postural Investigation In Individuals With Human T Cell Lymphotropic Virus-1-Associated Myelopathy/tropical Spastic Paraparesis,2017,ARTICLE,10.1097/JCE.0000000000000226,en,Journal Of Clinical Engineering,A4,3638855.0,,,,,,,['José Garcia Vivas Miranda'],postural investigation individual human cell lymphotropic virus associate myelopathy tropical spastic paraparesis
Fractal And Multifractal Properties Of Electrographic Recordings Of Human Brain Activity: Toward Its Use As A Signal Feature For Machine Learning In Clinical Applications,2018,ARTICLE,10.3389/fphys.2018.01767,pt,Frontiers In Physiology,A2,1664042.0,,,,,,,['José Garcia Vivas Miranda'],fractal multifractal property electrographic recording human brain activity toward use signal feature machine learning clinical application
"Relevance Of Transportation To Correlations Among Criticality, Physical Means Of Propagation, And Distribution Of Dengue Fever Cases In The State Of Bahia",2018,ARTICLE,10.1016/j.scitotenv.2017.09.047,en,Science Of The Total Environment,A1,489697.0,,,,,,,"['Eduardo Manuel de Freitas Jorge', 'Aloisio Santos Nascimento Filho', 'José Garcia Vivas Miranda', 'Hugo Saba Pereira Cardoso', 'Marcio Luis Valença Araújo']",relevance transportation correlation among criticality physical mean propagation distribution dengue fever case state bahia
An Agent-Based Model For Studying The Temperature Changes On Environments Exposed To Magnetic Fluid Hyperthermia,2024,ARTICLE,10.1016/j.compbiomed.2024.108053,en,Computers In Biology And Medicine,A2,104825.0,,,,,,,"['Raíssa Silva Fernandes', 'José Garcia Vivas Miranda']",agent base model study temperature change environment expose magnetic fluid hyperthermia
Neighborhood Properties Of Complex Networks,2006,ARTICLE,10.1103/PhysRevE.73.046101,en,"Physical Review. E, Statistical, Nonlinear And Soft Matter Physics",A1,15393755.0,,,,,,,['José Garcia Vivas Miranda'],neighborhood property complex network
Correlation Between Transport And Occurrence Of Dengue Cases In Bahia,2014,ARTICLE,,pt,Journal Of Communication And Computer,C,15487709.0,,,,,,,"['José Garcia Vivas Miranda', 'Eduardo Manuel de Freitas Jorge']",correlation transport occurrence dengue case bahia
Spatial Variability Structure Of Soil Co2 Emission And Soil Attributes In A Sugarcane Area,2014,ARTICLE,10.1016/j.agee.2014.03.043,en,"Agriculture, Ecosystems & Environment (print)",A1,1678809.0,,,,,,,['José Garcia Vivas Miranda'],spatial variability structure soil emission attribute sugarcane area
Gradientland Software: A Landscape Change Gradient Generator,2014,ARTICLE,10.1016/j.ecoinf.2014.12.001,en,Ecological Informatics (print),A1,15749541.0,,,,,,,['José Garcia Vivas Miranda'],gradientland software landscape changir gradient generator
